location_x,location_y, heading,speed, accelaration
11986270.8643004857 ,3836633.1347684050, -3.490659, 0.020000 , 0.000000
11986270.8524603583 ,3836633.1390778590, -3.490659, 0.020000 , -0.049751
11986270.8409174848 ,3836633.1432791213, -3.490659, 0.000000 , 0.000000
11986270.8304181062 ,3836633.1471005823, -3.490659, 0.000000 , 0.000000
11986270.8280508500 ,3836633.1479621930, -3.490659, 0.000000 , 0.040486
11986270.8280735537 ,3836633.1479539298, -3.490659, 0.020000 , -0.049875
11986270.8271578830 ,3836633.1482872069, -3.490659, 0.000000 , 0.044248
11986270.8204620164 ,3836633.1507243030, -3.490659, 0.020000 , -0.049875
11986270.8174217809 ,3836633.1518308581, -3.490659, 0.000000 , 0.000000
11986270.8101549130 ,3836633.1544757816, -3.490659, 0.000000 , 0.049383
11986270.8086638283 ,3836633.1550184917, -3.490659, 0.020000 , -0.049751
11986270.8069754895 ,3836633.1556329965, -3.490659, 0.000000 , 0.000000
11986270.7998209447 ,3836633.1582370377, -3.490659, 0.000000 , 0.000000
11986270.7981369887 ,3836633.1588499476, -3.490659, 0.000000 , 0.000000
11986270.7980829105 ,3836633.1588696302, -3.490659, 0.000000 , 0.040404
11986270.7984025981 ,3836633.1587532735, -3.490659, 0.020000 , 0.048780
11986270.7972139660 ,3836633.1591859004, -3.490659, 0.040000 , -0.040816
11986270.7865535859 ,3836633.1630659616, -3.490659, 0.020000 , 0.049020
11986270.7674739361 ,3836633.1700103865, -3.490659, 0.040000 , 0.000000
11986270.7514476944 ,3836633.1758434610, -3.490659, 0.040000 , -0.079840
11986270.7295822259 ,3836633.1838018410, -3.490659, 0.000000 , 0.040568
11986270.7092403732 ,3836633.1912056697, -3.490659, 0.020000 , 0.049261
11986270.7023776360 ,3836633.1937035015, -3.490659, 0.040000 , -0.079681
11986270.6907537412 ,3836633.1979342531, -3.490659, 0.000000 , 0.000000
11986270.6734409835 ,3836633.2042355817, -3.490659, 0.000000 , 0.000000
11986270.6687719300 ,3836633.2059349781, -3.490659, 0.000000 , 0.252525
11986270.6680640168 ,3836633.2061926373, -3.490659, 0.200000 , 0.702341
11986270.6589643192 ,3836633.2095046570, -3.490659, 0.620000 , 0.080483
11986270.5494863596 ,3836633.2493513753, -3.490659, 0.660000 , 0.079840
11986270.2556841392 ,3836633.3562866384, -3.490659, 0.700000 , 0.347395
11986269.8890043776 ,3836633.4897471573, -3.490659, 0.840000 , 0.172166
11986269.4766535722 ,3836633.6398305763, -6.693338, 0.960000 , 0.543210
11986271.7602918893 ,3836632.8086542031, -6.777550, 1.180000 , 0.160643
11986272.1175599433 ,3836632.7182687833, -6.732171, 1.260000 , 0.402010
11986272.7786177881 ,3836632.3750506621, -6.680466, 1.500000 , -0.033167
11986273.5467804428 ,3836632.0028736088, -6.774277, 1.480000 , 1.089109
11986274.2356252950 ,3836631.7126102452, -6.803075, 1.920000 , 0.612245
11986275.0195563883 ,3836631.2975847446, -6.822056, 2.220000 , -0.119048
11986275.9810092989 ,3836630.7494124016, -6.866998, 2.160000 , 0.945274
11986277.0198053215 ,3836630.1297550113, -6.858708, 2.540000 , 0.322581
11986278.1740356889 ,3836629.3713794295, -6.839509, 2.680000 , -1.463415
11986279.5005489010 ,3836628.5100557306, -6.943792, 2.080000 , 1.963190
11986280.6212020051 ,3836627.8124190653, -6.926339, 3.040000 , -1.188119
11986281.7667284012 ,3836626.9327671835, -6.838200, 2.560000 , 0.298507
11986283.2952414118 ,3836625.7846555882, -6.834928, 2.680000 , -1.031941
11986284.6608125903 ,3836624.9286985761, -6.764242, 2.260000 , 2.927835
11986286.1327556651 ,3836624.0221309853, -6.743080, 3.680000 , 0.638298
11986287.5352736078 ,3836623.2828756142, -6.673703, 3.980000 , 0.725624
11986289.6146153174 ,3836622.2491867449, -6.616325, 4.300000 , -0.149254
11986292.0397547204 ,3836621.2382319998, -6.501788, 4.240000 , 1.059063
11986294.9424948357 ,3836620.2201793166, -6.439392, 4.760000 , 0.744417
11986297.8104928825 ,3836619.5605708584, -6.397723, 5.060000 , -0.170940
11986300.8573265150 ,3836619.0683212392, -6.340563, 4.980000 , 0.399002
11986304.1622161977 ,3836618.6792712822, -6.305002, 5.140000 , 0.149626
11986307.4027186409 ,3836618.4818171156, -6.297584, 5.200000 , 0.770791
11986310.5619970877 ,3836618.4062205772, -6.238679, 5.580000 , 0.279070
11986314.0474389866 ,3836618.3544388721, -6.221881, 5.700000 , 0.297767
11986317.4927711580 ,3836618.4962697690, -6.226026, 5.820000 , 0.099256
11986320.9078450780 ,3836618.7022465277, -6.206391, 5.860000 , -0.246305
11986324.5216498524 ,3836618.9097938063, -6.205082, 5.760000 , 0.000000
11986328.0517219175 ,3836619.1776961205, -6.213590, 5.760000 , -0.528455
11986331.4821600579 ,3836619.4457287369, -6.249588, 5.500000 , 0.099502
11986334.7285796553 ,3836619.6732421555, -6.232134, 5.540000 , -0.098522
11986338.1491241809 ,3836619.7952057142, -6.238461, 5.500000 , 0.320641
11986341.4361831546 ,3836619.9605092262, -6.256133, 5.660000 , 0.040241
11986344.6508652531 ,3836620.1052720519, -6.284058, 5.680000 , 0.049628
11986347.8691356257 ,3836620.1951348898, -6.267477, 5.700000 , 0.049020
11986351.3535204437 ,3836620.1977024889, -6.276640, 5.720000 , 0.251572
11986354.7287859134 ,3836620.2481321609, -6.277513, 5.840000 , 0.049875
11986358.1643451452 ,3836620.2721460871, -6.292566, 5.860000 , 0.097800
11986361.5758094452 ,3836620.2917305059, -6.283185, 5.900000 , -0.099256
11986365.1453052852 ,3836620.2612072215, -6.309365, 5.860000 , -0.198511
11986368.5396117195 ,3836620.2598521770, -6.305875, 5.780000 , 0.498753
11986372.0683425926 ,3836620.1723384331, -6.349508, 5.980000 , 0.634921
11986375.3241469413 ,3836620.0982818077, -6.336854, 6.300000 , 0.677966
11986378.9724471904 ,3836619.8647596701, -6.377869, 6.580000 , 0.495868
11986382.4882225525 ,3836619.6744785137, -6.400122, 6.820000 , 0.362903
11986386.2603324410 ,3836619.3237923016, -6.409067, 7.000000 , -0.677966
11986390.2621957511 ,3836618.8588439678, -6.423030, 6.720000 , -0.484848
11986394.3095803596 ,3836618.3488772572, -6.440919, 6.480000 , -0.573770
11986398.2179214470 ,3836617.8016839488, -6.455537, 6.200000 , -1.012658
11986401.9893813543 ,3836617.2055125167, -6.464918, 5.720000 , -1.650000
11986405.5973436609 ,3836616.5804805239, -6.462082, 5.060000 , -1.096491
11986408.9680500459 ,3836615.9629878313, -6.485644, 4.560000 , -0.335430
11986411.8598066457 ,3836615.4398001311, -6.483898, 4.400000 , -0.488998
11986414.5440048873 ,3836614.8923218269, -6.531677, 4.200000 , -1.437908
11986416.9047437496 ,3836614.4120944254, -6.591672, 3.540000 , -1.633663
11986419.0568408724 ,3836613.8706642380, -6.632687, 2.880000 , 0.283976
11986420.9295946117 ,3836613.2799438620, -6.602799, 3.020000 , -0.604651
11986422.6437679585 ,3836612.6599233118, -6.632033, 2.760000 , 0.338164
11986424.2050956320 ,3836612.1410208913, -6.702719, 2.900000 , -0.099502
11986425.5759015381 ,3836611.6441517947, -6.726499, 2.860000 , 0.249377
11986427.0439899210 ,3836610.9955601399, -6.597999, 2.960000 , 0.545906
11986428.8797314763 ,3836610.1276491405, -6.557856, 3.180000 , 0.041237
11986430.6828866303 ,3836609.5247676177, -6.470372, 3.200000 , 0.049751
11986432.7501189131 ,3836608.9358267332, -6.307184, 3.220000 , 0.297030
11986435.1422099937 ,3836608.4666049005, -6.247188, 3.340000 , 1.389578
11986437.3078537583 ,3836608.3916471759, -6.170612, 3.900000 , -0.724346
11986439.6482673325 ,3836608.4665559903, -6.118688, 3.540000 , 1.818182
11986442.1062955912 ,3836608.7324958099, -6.010041, 4.280000 , 0.695297
11986444.7731029652 ,3836609.1653896021, -5.928883, 4.620000 , -0.796020
11986447.6080199648 ,3836609.9374188567, -5.913176, 4.300000 , 0.547264
11986450.2565163802 ,3836610.9024310070, -5.829400, 4.520000 , 0.447761
11986453.0930140577 ,3836611.9994740863, -5.808456, 4.700000 , 0.897756
11986455.6663410105 ,3836613.2391565093, -5.726425, 5.060000 , 0.291667
11986458.5680424925 ,3836614.7252031914, -5.750205, 5.200000 , 1.085595
11986461.0687845983 ,3836616.2672586897, -5.714644, 5.720000 , 0.297767
11986463.9603626840 ,3836617.9780258317, -5.707663, 5.840000 , 0.137931
11986466.8832003344 ,3836619.8376718266, -5.659666, 5.900000 , -0.798005
11986470.0777548254 ,3836621.9080025279, -5.643522, 5.580000 , 0.049875
11986473.0408665165 ,3836624.0268787402, -5.615815, 5.600000 , 0.000000
11986475.9045609161 ,3836626.1529335557, -5.610579, 5.600000 , -0.098765
11986478.5880992599 ,3836628.2607511529, -5.605998, 5.560000 , -0.097561
11986481.2378145065 ,3836630.3697051485, -5.582436, 5.520000 , -0.743982
11986483.9357895330 ,3836632.5377524742, -5.624542, 5.180000 , -0.498753
11986486.2923053224 ,3836634.5212032278, -5.686283, 4.980000 , -0.547264
11986488.5197252091 ,3836636.2507200977, -5.773549, 4.760000 , -0.245902
11986490.6455382090 ,3836637.7027800791, -5.987570, 4.640000 , -0.443350
11986492.3123881612 ,3836638.6361742052, -6.078109, 4.460000 , 0.099751
11986494.5402628500 ,3836639.3334648344, -6.200937, 4.500000 , -0.724638
11986496.6400860325 ,3836639.7797083571, -6.362816, 4.200000 , 0.576132
11986498.6078750547 ,3836639.9490364166, -6.553275, 4.480000 , -0.249377
11986500.3561675400 ,3836639.8141148919, -6.773623, 4.380000 , -0.196560
11986501.9816131145 ,3836639.3663055054, -6.984808, 4.300000 , -0.122200
11986503.4881039336 ,3836638.5652391482, -7.197083, 4.240000 , 0.597015
11986504.7725556940 ,3836637.4850858110, -7.409795, 4.480000 , -0.847880
11986505.7780798711 ,3836636.1879167454, -7.560766, 4.140000 , 0.443350
11986506.6340104528 ,3836634.4160309327, -7.701920, 4.320000 , 0.122200
11986507.2017921023 ,3836632.5719027068, -7.858999, 4.380000 , -0.947631
11986507.4981091190 ,3836630.6937180241, -7.981827, 4.000000 , 0.049628
11986507.4987404719 ,3836628.6306611449, -7.972446, 4.020000 , -0.846154
11986507.2041282542 ,3836626.2032201178, -7.814275, 3.580000 , 1.589958
11986506.8542938568 ,3836623.2969754245, -8.013243, 4.340000 , 0.297767
11986506.9155222848 ,3836621.7521600081, -7.922049, 4.460000 , 1.626016
11986506.4994883500 ,3836618.9297711216, -7.959574, 5.260000 , -0.199501
11986506.3161051609 ,3836616.3780996520, -7.779805, 5.180000 , 1.800487
11986505.9086575676 ,3836612.4344412657, -7.688175, 5.920000 , 0.570265
11986506.1411110908 ,3836608.6778725456, -7.608763, 6.200000 , -0.396040
11986506.7833092883 ,3836604.6841795938, -7.683158, 6.040000 , 3.000000
11986507.5693322048 ,3836601.4923840724, -7.689921, 7.240000 , 0.199005
11986508.2173671052 ,3836597.8135678959, -7.584110, 7.320000 , 1.006036
11986495.5467069093 ,3836587.6747385263, -7.549640, 7.820000 , 1.037037
