location_x,location_y, heading,speed, accelaration
11986270.8643004857 ,3836633.1347684050, -5.764049, 6.757920 , -9.007076
11986274.3853520155 ,3836635.1467514029, -5.763483, 6.752296 , -8.994204
11986276.5745620094 ,3836636.3976997272, -5.763992, 6.752198 , -9.003656
11986278.5258792862 ,3836637.5140776318, -5.763992, 6.752198 , -9.003656
11986280.4466106463 ,3836638.6118227635, -5.764454, 6.756773 , -9.014132
11986282.3663336039 ,3836639.7089301785, -5.763481, 6.752283 , -8.994171
11986284.2873723637 ,3836640.8056730269, -5.764497, 6.757200 , -9.015106
11986286.2108493522 ,3836641.9060975197, -5.763481, 6.752283 , -8.994171
11986288.1347633675 ,3836643.0044407104, -5.763992, 6.752198 , -9.003656
11986290.0593833476 ,3836644.1055170260, -5.764555, 6.757780 , -9.016434
11986291.9847885426 ,3836645.2059311336, -5.763483, 6.752296 , -8.994204
11986293.9100870416 ,3836646.3048647810, -5.763992, 6.752198 , -9.003656
11986295.8355009407 ,3836647.4063799707, -5.763992, 6.752198 , -9.003656
11986297.7605930883 ,3836648.5066142771, -5.763992, 6.752198 , -9.003656
11986299.6855982002 ,3836649.6067402307, -5.764453, 6.756764 , -9.014111
11986301.6112028752 ,3836650.7072056942, -5.764605, 6.763433 , -9.019698
11986303.5380381327 ,3836651.8072600579, -5.763641, 6.759027 , -8.999935
11986305.4656179380 ,3836652.9073119396, -5.764607, 6.763460 , -9.019760
11986307.3943894338 ,3836654.0103544653, -5.764106, 6.763641 , -9.010497
11986309.3232695311 ,3836655.1112431316, -5.763196, 6.754618 , -8.989840
11986311.2513976414 ,3836656.2127985037, -5.764455, 6.756783 , -9.014153
11986313.1793983951 ,3836657.3165416210, -5.764610, 6.763488 , -9.019823
11986315.1070925258 ,3836658.4171836539, -5.763199, 6.754635 , -8.989880
11986317.0344060510 ,3836659.5170760835, -5.763992, 6.752198 , -9.003656
11986318.9614684321 ,3836660.6202121535, -5.763992, 6.752198 , -9.003656
11986320.8871314079 ,3836661.7208088888, -5.766868, 6.780740 , -9.068995
11986322.8162893113 ,3836662.8233100818, -5.772555, 6.888798 , -9.219584
11986324.7595969792 ,3836663.9268906265, -5.766663, 6.938669 , -9.130507
11986326.7246526554 ,3836665.0284875548, -5.766769, 6.950039 , -9.137180
11986328.7164208163 ,3836666.1589333075, -5.769929, 6.991723 , -9.213249
